shell_key,document_type,widget_class,dashboard_class,api_resource,network_mode,settings_scope,i18n_scope,operation_policy,operations,currency_policy,branch_policy,warehouse_policy,cashbox_policy,shift_policy,default_print_profile,offline_queue,barcode_enabled,audit_scope
pos,pos,views.widgets.pos_widget.POSWidget,views.widgets.pos_widget.POSWidget,/api/invoices,remote_available,pos,pos.shell,pos_operation_policy,"checkout,suspend,resume,remove_line,clear_cart,open_shift,close_shift,print_receipt",display_currency,required,required,required,required_for_checkout,thermal80,True,True,pos
restaurant,restaurant,views.restaurant.restaurant_pos_widget.RestaurantPOSWidget,views.restaurant.restaurant_dashboard.RestaurantDashboard,/api/restaurant,remote_available,restaurant,restaurant.shell,restaurant_operation_policy,"use,open_session,add_line,send_kitchen,adjust_bill,record_payment,checkout,update_kitchen_status,print_receipt,print_kitchen_ticket",display_currency,required,required,required,optional,restaurant_receipt,True,True,restaurant
