key,category,path,status,detail
invariant::cashbox_balance_matches_all_cash_movements,invariant,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,critical business invariant
invariant::customer_receivable_matches_sales_returns_and_receipts,invariant,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,critical business invariant
invariant::supplier_payable_matches_purchases_returns_and_payments,invariant,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,critical business invariant
invariant::warehouse_quantities_match_purchases_returns_sales_transfers_and_manufacturing,invariant,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,critical business invariant
invariant::finished_goods_cost_is_derived_from_component_consumption,invariant,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,critical business invariant
invariant::gross_profit_uses_document_cost_basis_not_current_price,invariant,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,critical business invariant
invariant::branch_scope_is_present_for_every_stock_affecting_operation,invariant,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,critical business invariant
invariant::every_operation_has_a_stable_operation_id_for_offline_replay_and_idempotency,invariant,alrajhi_client/workspace/quality/golden_dataset_scenarios.py,OK,critical business invariant
release_doc,release,alrajhi_client/workspace/quality/release_gate_contract.py,OK,Phase423 doc registered
release_test,release,alrajhi_client/workspace/quality/release_gate_contract.py,OK,Phase423 test registered
release_check,release,alrajhi_client/workspace/quality/release_gate_contract.py,OK,Phase423 release check registered
